Token,Train_Count,Valid_Count,Total_Count
abiga,7,0,7
abigail,3924,27,3951
abigail's,208,0,208
abigailand,1,0,1
abigal,5,0,5
abigale,18,0,18
abigale's,1,0,1
abil,1,0,1
abilities,249,6,255
ability,561,8,569
abis,2,0,2
ablaze,14,1,15
able,45077,450,45527
abna,7,0,7
abner,4,0,4
abnormal,1,0,1
abnormally,1,0,1
aboard,479,6,485
abode,3,0,3
abort,3,0,3
abounded,1,0,1
about,503327,5127,508454
above,9935,97,10032
aboveground,2,0,2
abra,52,0,52
abracadabra,646,3,649
abrah,3,0,3
abraham,51,0,51
abrakadabra,1,0,1
abroad,10,0,10
abrupt,21,0,21
abruptly,40,0,40
absence,24,0,24
absent,5,0,5
absentminded,1,0,1
absolute,19,1,20
absolutely,452,5,457
absorb,12,1,13
absorbed,60,0,60
absorbent,1,0,1
absorbing,6,0,6
absorbs,3,0,3
absorption,1,0,1
abstract,8,2,10
abu,5,0,5
abu's,1,0,1
abundance,35,0,35
abundant,8,0,8
abuse,8,1,9
abused,5,0,5
abusing,3,0,3
abut,2,0,2
abuzz,3,0,3
aby,16,0,16
abyss,12,0,12
ac,3,0,3
academics,1,0,1
academy,1,0,1
acai,2,0,2
acariciar,1,0,1
accelerate,1,0,1
accelerated,3,0,3
accelerator,16,0,16
accent,12,0,12
accents,4,0,4
accept,9739,105,9844
acceptable,22,0,22
acceptance,56,0,56
accepted,5863,57,5920
accepting,323,1,324
accepts,60,0,60
access,44,0,44
accessed,1,0,1
accessibility,1,0,1
accessible,5,0,5
accessories,243,3,246
accessorize,1,0,1
accessory,58,1,59
accident,5509,62,5571
accidentally,10089,113,10202
accidentaly,2,0,2
accidentially,1,0,1
accidently,234,5,239
accidents,1573,12,1585
accommodating,4,0,4
accommodation,1,0,1
accomodate,1,0,1
accompanied,30,0,30
accompanies,1,0,1
accompaniment,1,0,1
accompany,27,0,27
accompanying,2,0,2
accomplish,382,7,389
accomplished,701,7,708
accomplishing,18,1,19
accomplishment,1410,14,1424
accomplishments,106,0,106
accord,5,0,5
accordance,1,0,1
according,73,0,73
accordingly,12,0,12
accordion,9,0,9
account,18,0,18
accountable,2,0,2
accountant,6,0,6
accounted,6,0,6
accounting,1,0,1
accross,3,0,3
accumulated,2,0,2
accumulating,3,0,3
accuracy,24,0,24
accurate,39,1,40
accurately,40,1,41
accuse,23,1,24
accused,55,1,56
accuses,1,0,1
accusing,12,0,12
accustomed,4,0,4
ace,79,0,79
aced,9,0,9
ach,3,0,3
ache,1708,16,1724
ached,99,0,99
acheive,1,0,1
aches,63,0,63
achey,1,0,1
achievable,24,1,25
achieve,2240,16,2256
achieved,1431,8,1439
achievement,367,1,368
achievements,74,1,75
achiever,1,0,1
achieving,169,3,172
aching,77,0,77
achingly,1,0,1
achive,1,0,1
achoo,3754,33,3787
achooo,2,0,2
achy,19,1,20
acid,17,1,18
acing,1,0,1
ack,2,0,2
acknowledge,14,0,14
acknowledged,14,0,14
acknowledgement,7,0,7
acknowledging,2,0,2
acknowledgment,1,0,1
acly,1,0,1
acompassionate,1,0,1
acorn,14258,168,14426
acorn's,23,0,23
acorns,6379,53,6432
acquaintance,4,1,5
acquainted,1,0,1
acquire,7,0,7
acquired,22,0,22
acquires,1,0,1
acquiring,0,1,1
acquisition,1,0,1
acquitted,1,0,1
acre,3,0,3
acres,5,0,5
acrobat,31,0,31
acrobatic,9,0,9
acrobatics,9,0,9
acrobats,233,0,233
acroess,1,0,1
acron,1,0,1
across,35079,361,35440
acrpss,1,0,1
act,18250,203,18453
acted,5035,64,5099
acting,3664,33,3697
action,1001,13,1014
actions,2882,32,2914
activate,15,0,15
activated,63,0,63
activating,1,0,1
active,769,16,785
actively,3,0,3
activities,1820,25,1845
activity,748,11,759
actor,242,1,243
actor's,1,0,1
actors,410,2,412
actress,37,0,37
actresses,6,0,6
acts,668,10,678
actting,1,0,1
actual,23,0,23
actuallly,1,0,1
actually,3049,32,3081
actualy,1,0,1
actyvities,1,0,1
acy,9,0,9
ad,60,0,60
ada,261,0,261
ada's,20,0,20
adam,2724,22,2746
adam's,134,2,136
adamant,82,1,83
adamantly,3,0,3
adams,3,0,3
adapt,22,0,22
adaptable,12,0,12
adaptations,1,0,1
adapted,5,0,5
adapter,2,0,2
adapting,2,0,2
adaya,9,0,9
adaya's,2,0,2
add,17023,173,17196
add's,5,0,5
adda,5,0,5
addable,1,0,1
addded,1,0,1
added,13616,139,13755
adder,10,0,10
adders,1,0,1
addict,1,0,1
addicted,5,0,5
addie,67,0,67
addie's,1,0,1
adding,2364,18,2382
addition,248,3,251
additional,5,0,5
additionally,2,0,2
additions,7,0,7
addorable,1,0,1
address,908,6,914
addressed,101,1,102
addresses,56,4,60
adds,916,5,921
addsomething,1,0,1
addy,181,0,181
addy's,4,0,4
ade,12,0,12
adele,40,0,40
adelina,8,0,8
adeline,12,0,12
adella,6,0,6
adelle,13,0,13
adelle's,2,0,2
adept,3,0,3
adequate,1,0,1
adhere,2,0,2
adhesive,3,0,3
adi,24,0,24
adi's,1,0,1
adimiration,1,0,1
adios,4,0,4
adive,1,0,1
adjacent,1,0,1
adjective,23,0,23
adjectives,3,0,3
adjoining,1,0,1
adjust,90,0,90
adjustable,2,1,3
adjusted,112,1,113
adjusting,22,0,22
adjustment,1,0,1
adjustments,39,0,39
adjusts,9,1,10
adm,1,0,1
admin,1,0,1
administered,1,0,1
admirable,15,0,15
admirably,2,0,2
admiration,827,11,838
admirative,1,0,1
admire,9931,108,10039
admired,9267,66,9333
admireing,1,0,1
admirer,14,0,14
admirers,12,0,12
admires,173,0,173
admiring,3345,30,3375
admiringly,43,2,45
admission,3,0,3
admissions,2,0,2
admit,470,4,474
admited,1,0,1
admiting,1,0,1
admits,7,0,7
admitted,184,1,185
admitting,34,0,34
admonished,2,0,2
admonitions,1,0,1
ado,3,0,3
adolf,10,0,10
adopt,180,0,180
adopted,101,1,102
adopting,6,0,6
adoption,19,0,19
adorable,15139,158,15297
adorably,5,0,5
adoration,5,0,5
adore,5,0,5
adored,150,1,151
adoring,1,0,1
adoringly,4,2,6
adorn,3,0,3
adorned,12,0,12
adorning,4,0,4
adragon,1,0,1
adrenaline,6,0,6
adri,8,0,8
adrian,7,0,7
adriana,14,0,14
adrianna,11,0,11
adrienne,3,0,3
adrift,1,0,1
ads,8,0,8
adult,1422,14,1436
adult's,32,0,32
adulthood,4,0,4
adults,1092,15,1107
advance,22,0,22
advanced,42,0,42
advances,2,0,2
advancing,9,0,9
advantage,215,2,217
advantageous,1,0,1
advantages,6,0,6
advent,4,0,4
adventerous,5,0,5
adventorous,1,0,1
adventue,1,0,1
adventues,1,0,1
adventuous,1,0,1
adventure,79278,824,80102
adventure's,1,0,1
adventured,18,0,18
adventureland,8,0,8
adventureous,6,0,6
adventurer,180,6,186
adventurer's,1,0,1
adventurers,252,5,257
adventures,35448,358,35806
adventuresome,31,0,31
adventuresto,1,0,1
adventuring,83,3,86
adventurous,20527,204,20731
adventurously,1,0,1
adventurousness,5,1,6
adventuruous,1,0,1
adversary,1,0,1
adversity,14,0,14
advert,5,0,5
advertise,13,0,13
advertised,7,0,7
advertisement,39,0,39
advertisements,5,0,5
advertising,34,2,36
advetures,1,0,1
advice,10728,89,10817
advices,6,0,6
advide,1,0,1
advise,23,0,23
advised,100,1,101
adviser,6,0,6
advisers,8,0,8
advises,1,0,1
advisor,32,0,32
advisor's,1,0,1
advisors,20,0,20
aeechoo,2,0,2
aeons,1,0,1
aer,1,0,1
aerial,1,0,1
aero,45,4,49
aerobatics,1,0,1
aeron,3,0,3
aeroplane,16152,134,16286
aeroplane's,55,1,56
aeroplanes,1168,11,1179
aeryn,4,0,4
aesop,1,0,1
afar,679,7,686
affair,1,0,1
affairs,7,0,7
affe,1,0,1
affect,573,9,582
affected,46,1,47
affecting,4,0,4
affection,64,1,65
affectionate,9,0,9
affectionately,24,0,24
affects,20,0,20
affirmation,2,0,2
affirmations,1,0,1
affirmatively,1,0,1
affirmed,1,0,1
affirming,1,0,1
afford,814,6,820
affordable,32,1,33
afforded,2,0,2
affort,1,0,1
affrightened,1,0,1
afield,8,0,8
afire,1,0,1
afixed,1,0,1
aflame,1,0,1
afloat,189,4,193
afoot,3,0,3
aford,1,0,1
afore,1,0,1
afraid,29428,271,29699
africa,333,0,333
african,26,0,26
after,452317,4592,456909
aftera,1,0,1
afterall,39,1,40
afterglow,1,0,1
afterlife,2,0,2
aftermath,1,0,1
afternon,1,0,1
afternoon,6949,78,7027
afternoon's,1,0,1
afternoons,75,1,76
afternooon,1,0,1
afteroon,1,0,1
afters,2,0,2
aftershave,1,0,1
aftershocks,1,0,1
afterward,244,0,244
afterwards,2899,34,2933
afterwords,5,0,5
ag,2,0,2
aga,10,0,10
again,628871,6527,635398
against,11011,116,11127
agape,6,0,6
agatha,59,4,63
agatha's,1,0,1
agave,1,0,1
age,1724,15,1739
aged,18,0,18
agency,8,0,8
agenda,2,0,2
agent,156,0,156
agents,12,0,12
ages,345,7,352
aggie,32,0,32
aggie's,4,0,4
aggravated,1,0,1
aggression,5,0,5
aggressive,39,0,39
aggressively,8,0,8
aggy,11,0,11
agh,2,0,2
aghast,4,0,4
agian,1,0,1
agile,61,0,61
agilely,1,0,1
agility,34,0,34
aging,2,0,2
agitated,7,0,7
agitating,1,0,1
aglow,3,0,3
agnes,201,0,201
agnes's,3,0,3
agni,5,0,5
ago,4569,39,4608
agon,1,0,1
agonizing,2,0,2
agony,21,0,21
agrandfather,1,0,1
agree,10404,94,10498
agreeable,6,0,6
agreeably,4,0,4
agreed,126280,1260,127540
agreeing,396,6,402
agreement,3546,44,3590
agreements,8,0,8
agrees,2670,22,2692
agressive,1,0,1
aground,4,0,4
agua,2,0,2
ah,2470,13,2483
ah'd,1,0,1
aha,143,0,143
ahappy,1,0,1
ahchoo,6,1,7
ahead,10548,110,10658
ahealthy,1,0,1
ahed,1,0,1
ahem,6,0,6
ahh,424,4,428
ahh'd,1,0,1
ahha,1,0,1
ahhed,64,0,64
ahhh,131,3,134
ahhhh,26,0,26
ahhhhed,1,0,1
ahhhhh,2,0,2
ahhhhhh,3,0,3
ahhhhhhhhhhhhhh,1,0,1
ahhhhhhhhhhhhhhhhhhhhhhhhhhh,1,0,1
ahhing,5,0,5
ahhs,1,0,1
ahle,7,0,7
ahm,6,0,6
ahmed,50,0,50
ahmet,9,0,9
ahn,8,0,8
ahna,3,0,3
ahold,63,0,63
ahoo,1,0,1
ahooga,1,0,1
ahoop,7,0,7
ahoy,745,6,751
ai,2,0,2
aid,11186,120,11306
aida,10,0,10
aidan,40,0,40
aide,2,0,2
aided,1,0,1
aiden,168,6,174
aiden's,2,2,4
aids,500,4,504
aila,6,0,6
aileen,7,0,7
ailing,1,0,1
ailment,2,0,2
ailments,2,0,2
ails,1,0,1
ailsa,12,0,12
ailsa's,1,0,1
aim,552,7,559
aimed,1647,18,1665
aimee,69,0,69
aimee's,2,0,2
aimied,1,0,1
aiming,116,1,117
aimless,2,0,2
aimlessly,36,1,37
aims,178,3,181
aimy,5,0,5
ain't,4,0,4
aina,9,0,9
aine,8,0,8
aine's,2,0,2
ainsley,11,0,11
ainy,1,0,1
air,75427,800,76227
air's,2,0,2
aira,9,0,9
airbag,1,0,1
airbags,3,1,4
airborne,8,0,8
aircraft,16,0,16
aired,1,0,1
airelle,6,0,6
airfield,17,0,17
airholes,3,0,3
airline,14,1,15
airman,1,0,1
airplane,2622,29,2651
airplane's,7,0,7
airplanes,413,8,421
airport,10606,102,10708
airport's,7,0,7
airports,38,0,38
airship,8,0,8
airshow,1,0,1
airstrip,2,0,2
airtight,1,0,1
airwaves,1,0,1
airways,1,0,1
airy,31,0,31
aisha,29,0,29
aisle,912,8,920
aisles,391,2,393
aissa,8,0,8
aiyana,4,0,4
aj,29,0,29
aja,18,0,18
ajar,46,1,47
ajay,9,0,9
aka,1,0,1
akari,2,0,2
akash,5,0,5
aki,11,0,11
aki's,2,0,2
akila,12,0,12
akind,1,0,1
akio,10,0,10
aksed,2,0,2
aku,5,0,5
al,2347,30,2377
al's,76,0,76
ala,18,0,18
alabama,1,0,1
aladdin,1,0,1
alain,7,0,7
alaka,1,0,1
alakazam,53,1,54
alan,498,0,498
alan's,17,0,17
alana,26,0,26
alandra,3,0,3
alanna,12,0,12
alarm,11110,128,11238
alarm's,10,0,10
alarmbot,2,0,2
alarmbot's,1,0,1
alarmed,71,0,71
alarming,10,0,10
alarmingly,4,0,4
alarms,125,1,126
alarmy,11,0,11
alarmy's,1,0,1
alas,188,1,189
alaska,15,0,15
alba,15,0,15
albacore,1,0,1
albatross,3,0,3
albeit,1,0,1
alber,4,0,4
albert,323,15,338
albert's,10,3,13
alberta,8,0,8
alberta's,1,0,1
alberto,5,0,5
albie,19,0,19
albino,7,0,7
album,192,6,198
albums,8,0,8
alby,16,0,16
alcohol,21,0,21
alcott,1,0,1
alcove,2,0,2
aldo,5,0,5
ale,2,0,2
alea,4,0,4
alec,47,0,47
alecia,7,0,7
alee,8,0,8
aleena,6,0,6
aleena's,1,0,1
alejandra,6,0,6
alejandro,12,0,12
alejandro's,3,0,3
alena,6,0,6
alena's,1,0,1
alert,15846,169,16015
alert's,1,0,1
alerted,49,0,49
alertest,1,0,1
alerting,13,0,13
alertled,1,0,1
alertly,28,0,28
alertness,48,0,48
alerts,2,0,2
alessa,7,0,7
alessa's,2,0,2
alessio,6,0,6
alex,7729,79,7808
alex's,308,4,312
alexa,294,0,294
alexa's,8,0,8
alexander,47,0,47
alexander's,3,0,3
alexandra,40,0,40
alexandria,16,0,16
alexandria's,1,0,1
alexis,27,0,27
alf,6,0,6
alfalfa,1,0,1
alfie,333,5,338
alfie's,10,0,10
alfred,215,3,218
alfred's,7,0,7
alfredo,5,0,5
alfried,1,0,1
alfy,13,0,13
algae,46,0,46
algain,1,0,1
algebra,1,0,1
algo,7,0,7
ali,1176,0,1176
ali's,58,0,58
alia,16,0,16
aliana,4,0,4
alice,15280,159,15439
alice's,854,4,858
alicia,222,4,226
alicia's,11,0,11
alicy,3,0,3
alien,2530,35,2565
alien's,40,1,41
alienated,1,0,1
aliens,865,5,870
alight,9,0,9
alighted,6,0,6
align,1,0,1
aligned,4,0,4
alika,6,0,6
alike,138,1,139
alina,101,0,101
alina's,8,0,8
alisa,20,4,24
alise,18,0,18
alisha,21,0,21
alisha's,1,0,1
alison,314,0,314
alison's,6,0,6
alissa,16,0,16
alistair,4,0,4
alive,7990,108,8098
alivia,4,0,4
aliya,29,0,29
aliyah,17,0,17
aliyah's,1,0,1
all,1769983,18103,1788086
all's,7,0,7
alla,7,0,7
alla's,2,0,2
allah,4,0,4
allan,46,0,46
allbetter,1,0,1
alle,1,0,1
allegiance,2,0,2
allen,83,0,83
allen's,3,0,3
allergic,424,3,427
allergies,13,0,13
allergy,22,0,22
alleverything,1,0,1
alley,428,7,435
alley's,2,0,2
alleycat,8,0,8
alleycat's,1,0,1
alleys,14,0,14
alleyway,76,1,77
alleyways,11,0,11
alli,39,0,39
alliance,2,0,2
allie,446,0,446
allie's,23,0,23
allies,6,0,6
alligator,14441,175,14616
alligator's,267,3,270
alligators,527,6,533
allison,73,0,73
allison's,2,0,2
allleared,1,0,1
allocate,1,0,1
allocated,1,0,1
allorange,1,0,1
allotted,1,0,1
allotting,1,0,1
allover,3,0,3
allow,4893,56,4949
allowance,253,0,253
allowed,12197,112,12309
allowing,470,10,480
allows,98,1,99
allready,1,0,1
allright,11,0,11
allspice,1,0,1
allthe,1,0,1
alltreasures,1,0,1
alluring,9,0,9
ally,2584,33,2617
ally's,98,0,98
allá,1,0,1
alma,35,0,35
alma's,2,0,2
almighty,9,0,9
almond,10,0,10
almonds,10,0,10
almost,19496,184,19680
aloe,7,0,7
aloft,3,0,3
aloha,8,0,8
alona,3,0,3
alona's,1,0,1
alone,79893,822,80715
along,33363,345,33708
alongs,1,0,1
alongside,392,5,397
alonzo,11,0,11
alonzo's,2,0,2
alopecia,2,0,2
alot,6,0,6
alou,3,0,3
aloud,454,17,471
alpaca,8,0,8
alpacas,8,0,8
alpha,5,0,5
alphabet,140,1,141
alphabetical,5,0,5
alphonso,2,0,2
already,12045,125,12170
alright,5657,64,5721
alrighty,1,0,1
also,175985,1703,177688
alta,12,0,12
alta's,1,0,1
altar,53,0,53
altars,1,0,1
alter,2,0,2
altered,7,0,7
alternate,10,0,10
alternated,2,0,2
alternating,1,0,1
alternative,25,2,27
alternatives,8,0,8
althogh,1,0,1
although,2139,23,2162
altitude,12,0,12
altitudes,1,0,1
altogether,74,1,75
altough,1,0,1
altruistic,2,0,2
aluminum,2,0,2
alvin,67,5,72
alvin's,3,0,3
alwa,6,0,6
alway,6,0,6
always,453485,4589,458074
aly,76,0,76
aly's,5,0,5
alya,18,5,23
alya's,1,0,1
alys,9,0,9
alys's,1,0,1
alyssa,68,7,75
alyssa's,8,1,9
alyx,7,0,7
alzheimer's,1,0,1
am,275627,2674,278301
ama,33,0,33
ama's,2,0,2
amal,17,0,17
amal's,1,0,1
amalia,14,0,14
amalia's,2,0,2
aman,24,6,30
aman's,2,1,3
amanda,813,14,827
amanda's,33,1,34
amar,9,0,9
amara,26,0,26
amara's,1,0,1
amaranth,1,0,1
amari,12,0,12
amarillo,6,0,6
amassed,2,0,2
amaya,83,0,83
amaya's,7,0,7
amaze,23,0,23
amazed,40770,433,41203
amazedly,1,0,1
amazement,4089,47,4136
amazes,1,0,1
amazied,1,0,1
amazin,1,0,1
amazing,57712,590,58302
amazingland,1,0,1
amazingly,207,2,209
amazingy,1,0,1
amazment,3,0,3
amazon,1,0,1
amber,786,5,791
amber's,35,0,35
ambi,19,0,19
ambiance,1,0,1
ambience,1,0,1
ambition,68,1,69
ambitions,12,1,13
ambitious,70,1,71
ambitiously,1,0,1
amble,3,0,3
ambled,13,0,13
ambling,2,0,2
ambulance,14265,146,14411
ambulance's,38,0,38
ambulances,144,0,144
ambur,3,0,3
ambush,2,0,2
ambushed,5,0,5
amd,2,0,2
amde,1,0,1
ameena,7,0,7
ameera,4,0,4
amel,1,0,1
ameli,16,0,16
ameli's,1,0,1
amelia,1156,5,1161
amelia's,47,0,47
amelie,126,0,126
amelie's,2,0,2
amen,388,3,391
amendments,1,0,1
amends,29,1,30
america,59,0,59
america's,1,0,1
american,16,0,16
americans,3,0,3
amethyst,9,0,9
amethysts,1,0,1
ami,464,0,464
ami's,15,0,15
amiably,1,0,1
amicable,1,0,1
amicably,1,0,1
amid,1,0,1
amidst,43,0,43
amie,135,7,142
amie's,9,0,9
amiga,1,0,1
amigable,1,0,1
amigo,15,0,15
amigos,3,0,3
amin,5,0,5
amina,36,0,36
amino,0,1,1
aminute,1,0,1
amir,27,0,27
amir's,2,0,2
amira,61,0,61
amira's,2,0,2
amis,1,0,1
amiss,6,0,6
amistan,1,0,1
amit,5,0,5
ammi,7,0,7
ammo,1,0,1
ammunition,2,0,2
ammy,11,0,11
amommy,1,0,1
amond,1,0,1
among,1092,11,1103
amongst,368,6,374
amor,1,0,1
amos,77,4,81
amount,1146,13,1159
amounts,90,1,91
amphibian,1,0,1
amphitheater,1,0,1
ample,1,0,1
amplfiied,1,0,1
amplfiy,1,0,1
amplified,6,0,6
amplifier,2,0,2
amplifying,1,0,1
amps,1,0,1
amputate,2,0,2
amputated,8,0,8
amu,2,0,2
amulet,46,0,46
amulets,1,0,1
amuse,7,0,7
amused,609,9,618
amusement,169,0,169
amusements,1,0,1
amusing,39,0,39
amy,337427,3558,340985
amy's,25617,254,25871
amys,1,0,1
an,552624,5754,558378
ana,1398,8,1406
ana's,77,0,77
anabel,10,0,10
anabel's,2,0,2
anabelle,48,0,48
anabelle's,3,0,3
anagreeing,1,0,1
analyse,1,0,1
analyze,1,0,1
analyzing,1,0,1
ananimal,1,0,1
anarrow,1,0,1
anaya,6,0,6
anca,7,0,7
ancestor,3,0,3
ancestors,45,0,45
ancestry,1,0,1
anchor,12475,146,12621
anchor's,20,0,20
anchored,22,0,22
anchoring,3,0,3
anchorman,6,0,6
anchors,159,1,160
anchovies,6,0,6
ancient,22957,246,23203
ancient's,1,0,1
ancientness,2,0,2
ancients,12,0,12
ancy,9,0,9
and,19916482,200522,20117004
and'squeezed,1,0,1
anda,2,0,2
andading,1,0,1
andalex,2,0,2
andand,1,0,1
andate,1,0,1
andb,1,0,1
andcarefree,1,0,1
andchew,1,0,1
andcontent,2,0,2
anddad,2,0,2
anddaddy,3,0,3
anddisplayed,1,0,1
anddove,1,0,1
anddown,1,0,1
andeggs,1,0,1
andemma,1,0,1
anders,0,4,4
anderson,40,0,40
andes,1,0,1
andeven,1,0,1
andeveryone,1,0,1
andexciting,1,0,1
andexplained,1,0,1
andfelt,1,0,1
andfolded,1,0,1
andfor,1,0,1
andgrace's,1,0,1
andgranddaddy,1,0,1
andhe,2,0,2
andheld,1,0,1
andhero,1,0,1
andi,62,0,62
andi's,1,0,1
andie,5,0,5
andie's,1,0,1
andiry,1,0,1
andjack,2,0,2
andjane,1,0,1
andjim,1,0,1
andjimmy,2,0,2
andjohn,1,0,1
andjon,1,0,1
andjoyful,1,0,1
andjumpeddback,1,0,1
andkevin,1,0,1
andleft,1,0,1
andlisa,1,0,1
andloop,1,0,1
andmaria,1,0,1
andmark,1,0,1
andmay,1,0,1
andmike,1,0,1
andmillie,1,0,1
andneat,1,0,1
andnever,1,0,1
andneverytime,1,0,1
andnight,1,0,1
andopen,1,0,1
andopened,1,0,1
andpeter,1,0,1
andplayfully,1,0,1
