prompt,simplestories_word,camstories_10k_word_run1,tinystories_word,camstories_10k_15m_8L6H384,gpt2
I put the only key in Alex's hand and kept the note. The thing in Alex's hand is the,8,6,3,9,7
There is a big cup and a small cup. I hand Alex the big cup. I drink from the,9,10,10,10,7
I have two boxes: one with a star and one with a moon. I put the key in the star box. I open the star box and take the,8,10,2,6,10
I put the key next to the lamp and the pen next to the book. I go to the book to pick up the,10,2,2,10,2
"Alex is cold. The window was open, so she",2,6,6,6,6
I put a cookie on the plate and an apple in the bag. I reach into the bag and pull out the,2,10,2,2,10
I placed the ball under the chair and the book on the chair. I look under the chair to see the,2,2,10,10,2
I put the letter X on the left card and the letter Y on the right card. The left card shows,3,6,8,6,3
I placed my note under the cup. I lift the cup to see the,7,9,6,8,9
"""What do birds like to eat?"", Alex asked his mother.",4,6,9,7,3
"Alex had a piece of candy in her left pocket and a piece of chocolate in her right pocket. Alex's mum asked her, ""Alex, what is that you have in your left pocket?""",6,10,6,7,10
Alex was so tired when she got back home so she went,10,10,10,10,7
"Alex doesn't like swimming. When her father wants to take her to the swimming pool, she says",2,10,10,2,3
"Alex and Finley liked to watch the moon at night. They noticed that the moon changed its shape every night. Sometimes the moon was big and round, and sometimes it was",6,9,9,9,9
"There are two boxes: one big and one small. The big box is too heavy for Alex, so she carries the",6,9,9,9,9
I folded the green paper and left the red paper flat. The paper that is folded is the,2,3,1,4,5
I set the green book on top of the red book. The book on top is the,8,7,7,10,8
"Alex and Finley saw a rainbow after a rainy day. They were amazed by the colors. Alex said, ""Look, Finley. A rainbow has",8,8,2,7,10
I hid a note under the left cushion and a key under the right cushion. I lift the right cushion to find the,2,10,10,6,10
I placed the triangle tile above the square tile. The tile above is the,7,8,10,6,2
"If the sun sets, the sky becomes",10,10,10,10,8
I carry a blue hat and a yellow hat. I give Alex the yellow hat. I put on the,4,2,3,5,2
I set the cat toy near the door and the dog toy by the window. I walk to the window to get the,7,2,2,7,3
I put a sticker on the front of the notebook and a note on the back. I turn to the back to read the,7,9,9,9,10
I put the A card in the bag and the B card in the box. I open the bag to take the,9,9,9,5,2
I placed a circle sticker on the front door and a square sticker on the back door. I go to the front door to see the,6,8,8,8,9
"I put the tiny box inside the big box. When I open the big box, inside I see the",8,8,9,8,6
I placed the cat card behind the book and the dog card in front of the book. I reach behind the book to grab the,7,7,10,7,3
I put a red bead in the top bowl and a green bead in the bottom bowl. I lift the top bowl to get the,6,8,8,7,8
"I set the green cup near me and the red cup near Alex. I pick up the cup near me, which is the",6,3,6,10,7
"I stuck ""Alex"" on one cup and ""Me"" on the other. I hand Alex the cup that says ""Alex"". I drink from the cup that says",2,3,2,2,3
I gave Alex my blue scarf and kept my green scarf. The scarf I kept is,9,9,9,9,9
"Alex wanted to read a book, so he went to",10,10,10,10,10
I hid the letter A card in the red box and the letter B card in the blue box. I open the red box and take the,0,0,0,0,0
"I placed the only pen on the book. When I pick up the book, the thing on the book is the",7,5,5,7,6
"I have a red ball and a blue ball. I give the red ball to Alex, so she plays with the red ball, and I play with the",10,10,10,10,10
I hid a coin behind the red box and a note behind the green box. I walk to the green box to get the,2,2,2,2,2
I put one shoe under the bed and the other in the closet. I open the closet and take the,10,10,10,10,10
I put the puzzle piece in the small box and the dice in the big box. I open the small box to take the,4,6,10,5,3
I put my name tag on the green backpack and Alex's tag on the orange backpack. The backpack with my tag is,5,1,4,9,7
I put the spoon beside the bowl and the fork inside the bowl. I reach into the bowl to grab the,1,1,1,1,2
I have two shirts: striped and plain. I give Alex the plain shirt. I wear the,6,3,2,3,2
I put my drawing under the book and my pencil on the book. I lift the book to see the,8,9,8,7,9
I gave Alex my red balloon and kept the blue balloon. The balloon I kept is the,8,8,8,3,2
I put the marble in the bottle and closed the bottle. The marble is inside the,10,10,10,9,10
I placed the thin book on the thick book. The book on top is the,8,8,4,5,9
I put the cat card in the left pocket and the dog card in the right pocket. I reach into the left pocket to grab the,9,9,10,9,10
I put the red ticket in my wallet and the blue ticket in my pocket. I open my wallet to get the,8,8,8,8,10
"It was raining, so Alex took his umbrella. It was sunny, so he wore his",8,6,6,6,6
I put a green sticker on my notebook and no sticker on Alex's. The notebook with the sticker is,6,2,3,8,9
"If the door is locked, it cannot be",10,2,1,10,10
"The cow says ""moo"" and the cat says ""meow"". The dog says",8,9,9,3,4
I set a toy car on the shelf and a doll in the box. I open the box to find the,9,9,8,6,9
"Two marbles: one red, one blue. I pass the blue marble to Alex. I keep the",9,10,1,1,10
I put the red block in front of the blue block. The block in front is the,4,8,10,1,3
I gave Alex the only red marker and kept the blue one. The color I kept was,8,8,6,5,9
I slid the red card under the mat and the blue card under the rug. I lift the mat to get the,6,6,6,6,10
The book is on the table and the pen is in the drawer. I open the drawer to get the,2,2,10,10,10
I put the coin in the box and the key in the bag. I open the bag and take the,10,10,1,1,10
I put my keys in the left pocket and my phone in the right pocket. I touch the left pocket to get the,10,8,8,2,2
"""Hi Alex, have you seen Finley? I can't find her anywhere"", said Alex.",9,4,7,8,7
